BANDHAN Bank 729 - Cheque in hand,,,,,,,,,,,,,,
Cheers Retail Private limited,,,,,,,,,,,,,,
Date,Particulars,Instrument Number,"Instrument
 Date", Credit ,Bill Date,"Payment
 Type",Sent to (location),Sent On,Location Confirmation,Cheque In Hand / Issued on,Cheque debited on,Ageing,CO.,GST INPUT STATUS
16-04-22,R SQUARE FOOD FACTORY_771,000932,22-04-22," 5,000 ",21-01-22,Supplier,,,,03-05-22,,102,CRPL,
16-04-22,S M ENTERPRISES_998,000934,22-04-22," 4,846 ",15-03-22,Supplier,,,,03-05-22,,49,CRPL,
16-04-22,SAAGA DISTRIBUTORS_708,000935,22-04-22," 4,327 ",06-12-21,Supplier,,,,03-05-22,,148,CRPL,
16-04-22,SHREE KUMARAN TRADERS_988,000936,22-04-22, 745 ,16-02-22,Supplier,,,,03-05-22,,76,CRPL,
16-04-22,SRI KAILASH  SONS_324,000940,22-04-22," 5,472 ",08-12-21,Supplier,,,,03-05-22,,146,CRPL,
16-04-22,SUPREME AGENCIES_472,000944,22-04-22," 8,617 ",26-02-22,Supplier,,,,03-05-22,,66,CRPL,
16-04-22,SUPREME AGENCIES_472,000945,22-04-22," 17,759 ",12-03-22,Supplier,,,,03-05-22,,52,CRPL,
16-04-22,SUPREME AGENCIES_472,000946,22-04-22," 7,285 ",17-03-22,Supplier,,,,03-05-22,,47,CRPL,
16-04-22,VENKATESWARA TRADING,000948,22-04-22, 765 ,12-10-21,Supplier,,,,03-05-22,,203,CRPL,
16-04-22,SRI NANDHA FOODS_478,000961,22-04-22, 840 ,11-03-22,Supplier,Ang,19-04-22,,03-05-22,,53,CRPL,
14-02-22,GREEN  NATURAL_105,000677,22-04-22," 4,264 ",11-12-21,Supplier,W/H,20-02-22,,03-05-22,,143,CRPL,GST INPUT NOT RECEIVED
07-02-22,R SQUARE FOOD FACTORY_771,000661,22-04-22," 11,711 ",12-01-22,Supplier,W/H,20-02-22,,03-05-22,,111,CRPL,
18-02-22,CV-CALCARE COMPANY,000709,, 912 ,10-02-20,Supplier,W/H,20-02-22,,In Hand,,,CV,
18-02-22,CV-AVANIS FOODS,000710,," 3,313 ",12-10-21,Supplier,W/H,20-02-22,,In Hand,,,CV,GST INPUT NOT RECEIVED
25-01-22,CV-BITS IMPEX PVT LTD,000610,," 13,972 ",24-04-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
23-11-21,CV-GABRIEL TRADERS,000160,," 40,000 ",04-06-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
13-12-21,CV-JAYAM AGENCY,000279,," 25,686 ",28-12-20,Supplier,W/H,20-02-22,,In Hand,,,CV,
13-12-21,CV-JAYAM AGENCY,000280,," 25,000 ",28-12-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
27-11-21,SREE SAI ENTERPRISES,000250,," 2,503 ",14-09-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
20-12-21,BARANI ENTERPRISES,000343,," 7,782 ",19-05-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
11-01-22,CV-MY ORGANIC BAZAAR,000457,," 8,893 ",17-06-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
11-01-22,CV-SRI VALLIAPPA AGENCIES,000449,," 3,449 ",08-09-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
13-01-22,OM DEEPAM AGENCIES,000481,, 969 ,12-10-21,Supplier,W/H,20-02-22,,In Hand,,,CRPL,
13-01-22,CV-SHREE KRISHNA ENTERPRISES,000489,," 2,652 ",28-06-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
17-01-22,CV-B AND M HOT BREADS PVT LTD,000498,," 9,603 ",10-08-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
17-01-22,CV-B AND M HOT BREADS PVT LTD,000499,," 6,861 ",10-08-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
17-01-22,CV-B AND M HOT BREADS PVT LTD,000500,," 5,635 ",20-08-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
17-01-22,CV-B AND M HOT BREADS PVT LTD,000501,," 7,378 ",20-08-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
21-01-22,CV-B AND M HOT BREADS PVT LTD,000567,," 10,291 ",31-08-21,Supplier,W/H,20-02-22,,In Hand,,,CV,
07-02-22,D.A.ENGINEERING WORK,000665,," 5,664 ",07-12-21,Admin,Admin,Admin,,In Hand,,,CRPL,
12-03-22,AKSHIT TRADERS_962,000750,," 21,646 ",22-01-22,Supplier,W/H,14-03-22,,In Hand,,,CRPL,GST INPUT NOT RECEIVED
12-03-22,ANNAI FOOD PRODUCTS PVT LTD_581,000752,, 250 ,25-01-22,Supplier,W/H,14-03-22,,In Hand,,,CRPL,
14-03-22,CV-VEE JAY ENTERPRISES,000802,, 672 ,11-10-21,Supplier,W/H,14-03-22,,In Hand,,,CV,
11-04-22,ESWARI ENTERPRISES_833,000901,," 9,222 ",04-02-22,Supplier,Ofc,Ofc,,In Hand,,,CRPL,
19-04-22,CV-Airtel No: 1304874486,000972,," 17,490 ",09-04-22,Admin,,,,In Hand,,,CV,
20-04-22,CORTEX ENTERPRISES_1005,000973,," 13,816 ",25-03-22,Supplier,,,,In Hand,,,CRPL,
20-04-22,CORTEX ENTERPRISES_1005,000974,," 5,330 ",25-03-22,Supplier,,,,In Hand,,,CRPL,
20-04-22,SAROJINI TRADERS (21-22)_943,000975,," 6,561 ",01-04-22,Supplier,,,,In Hand,,,CRPL,
20-04-22,SAROJINI TRADERS (21-22)_943,000976,," 4,831 ",02-04-22,Supplier,,,,In Hand,,,CRPL,
20-04-22,SAROJINI TRADERS (21-22)_943,000977,," 5,849 ",08-04-22,Supplier,,,,In Hand,,,CRPL,
20-04-22,SAROJINI TRADERS (21-22)_943,000978,," 4,256 ",09-04-22,Supplier,,,,In Hand,,,CRPL,
20-04-22,SAROJINI TRADERS (21-22)_943,000979,," 20,000 ",09-04-22,Supplier,,,,In Hand,,,CRPL,
20-04-22,SAROJINI TRADERS (21-22)_943,000980,," 22,239 ",09-04-22,Supplier,,,,In Hand,,,CRPL,
